binary_accuracy,loss,val_binary_accuracy,val_loss
0.8269867300987244,1.2136906385421753,0.9496142864227295,0.9181749224662781
0.9682420492172241,0.7592142820358276,0.9746866226196289,0.6395572423934937
0.9757074117660522,0.5606674551963806,0.9804725050926208,0.47793903946876526
0.9788079261779785,0.423895001411438,0.9780617356300354,0.3720824420452118
0.9807495474815369,0.33309128880500793,0.9826422333717346,0.2954440712928772
0.9824954867362976,0.2715153694152832,0.9791465997695923,0.25560933351516724
0.983910322189331,0.23068004846572876,0.9774590134620667,0.23205940425395966
0.9843769073486328,0.20592622458934784,0.9832449555397034,0.1996854841709137
0.9858368635177612,0.1887638121843338,0.9840887188911438,0.18612554669380188
0.9867700338363647,0.17893996834754944,0.983968198299408,0.1810535043478012
0.9879440069198608,0.17405664920806885,0.9851735830307007,0.17868377268314362
0.988380491733551,0.171875,0.985535204410553,0.17745335400104523
0.988004207611084,0.1714402288198471,0.9850530624389648,0.1773955523967743
0.9886363744735718,0.17016898095607758,0.9858968257904053,0.17622160911560059
0.9882450103759766,0.16978436708450317,0.985535204410553,0.1755550652742386
0.9881246089935303,0.16900742053985596,0.985535204410553,0.17535629868507385
0.9879139065742493,0.1685253232717514,0.9852941036224365,0.17427699267864227
0.9882450103759766,0.1672600656747818,0.985535204410553,0.1736408919095993
0.9888019561767578,0.1664605736732483,0.985535204410553,0.17275486886501312
0.9884858727455139,0.1660248041152954,0.9862584471702576,0.1723010092973709
0.9889373779296875,0.16493313014507294,0.985535204410553,0.17200346291065216
0.9885309934616089,0.16493740677833557,0.9863789677619934,0.17105835676193237
0.9887717962265015,0.16359572112560272,0.9856557250022888,0.17091192305088043
0.9886062741279602,0.16245034337043762,0.9856557250022888,0.17007532715797424
0.9889373779296875,0.16269376873970032,0.9854146838188171,0.1697719842195511
0.9883955717086792,0.16148686408996582,0.9860173463821411,0.1691557615995407
0.9885761737823486,0.16159746050834656,0.9852941036224365,0.16872024536132812
0.9886062741279602,0.16028209030628204,0.985535204410553,0.16804663836956024
0.9886664748191833,0.15956929326057434,0.9852941036224365,0.16715027391910553
0.9890126585960388,0.15869824588298798,0.9850530624389648,0.16730700433254242
0.9892233610153198,0.15763062238693237,0.9850530624389648,0.1671680063009262
0.9887717962265015,0.1578059196472168,0.9849324822425842,0.16640658676624298
0.9888169765472412,0.15687257051467896,0.9850530624389648,0.1651865839958191
0.988591194152832,0.15615275502204895,0.9850530624389648,0.1651914417743683
0.9891179800033569,0.1552519053220749,0.9854146838188171,0.16486451029777527
